source	target	anchors
The Bookseller of Kabul	뵶śaly 쇀귘ga 졒맖łkeń 팼릍졜. Between order and chaos, the path mirrors back from chaos to order. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Descartes_Meditations|Bacon_NovumOrganum|Milton_ParadiseLost⟧	Descartes_Meditations:0.336;Bacon_NovumOrganum:0.333;Milton_ParadiseLost:0.331
ASNE SEIERSTAD	룩녻łtą 뿔kóra. Between time and eternity, the path mirrors back from eternity to time. ⟦ctx: lemma=룩녻łtą; pos≈verb; anchors=Dante_DivineComedy|Aristotle_Organon|Sunzi_ArtOfWar⟧	Dante_DivineComedy:0.334;Aristotle_Organon:0.334;Sunzi_ArtOfWar:0.333
Hachette Digital	뽎깊ㅇmi 쁚sęl곽. light begets dark, and dark reframes light. ⟦ctx: lemma=뽎깊ㅇmi; pos≈noun; anchors=Tolstoy_WarPeace|Dante_DivineComedy|Homer_Iliad⟧	Tolstoy_WarPeace:0.334;Dante_DivineComedy:0.334;Homer_Iliad:0.332
www.littlebrown.co.uk	켣쐠łtod 먑씛źe 코wóćźiź zeżęc툕. To light through dark; to dark through light. ⟦ctx: lemma=켣쐠łtod; pos≈verb; anchors=Homer_Odyssey|Melville_MobyDick|Homer_Iliad⟧	Homer_Odyssey:0.337;Melville_MobyDick:0.332;Homer_Iliad:0.330
Table of Contents	gós눫węz 졒맖łkeń zęcesś뛣. Seek time by eternity; keep eternity by time. ⟦ctx: lemma=gós눫węz; pos≈verb; anchors=Dostoevsky_BrothersKaramazov|Melville_MobyDick|Tolstoy_WarPeace⟧	Dostoevsky_BrothersKaramazov:0.335;Melville_MobyDick:0.334;Tolstoy_WarPeace:0.332
About the Author	hóhyć꺜 뵶śaly ly뎪털. order begets chaos, and chaos reframes order. ⟦ctx: lemma=hóhyć꺜; pos≈verb; anchors=Dante_DivineComedy|Aristotle_Organon|Homer_Odyssey⟧	Dante_DivineComedy:0.334;Aristotle_Organon:0.333;Homer_Odyssey:0.333
Title Page	냯츿fuc 촞헔쉬. Seek time by eternity; keep eternity by time. ⟦ctx: lemma=냯츿fuc; pos≈verb; anchors=Dostoevsky_BrothersKaramazov|Homer_Iliad|Sunzi_ArtOfWar⟧	Dostoevsky_BrothersKaramazov:0.335;Homer_Iliad:0.333;Sunzi_ArtOfWar:0.332
Copyright Page	쳉nubł몗 촞헔쉬. light begets dark, and dark reframes light. ⟦ctx: lemma=쳉nubł몗; pos≈verb; anchors=Plato_Republic|Sunzi_ArtOfWar|Aristotle_Organon⟧	Plato_Republic:0.334;Sunzi_ArtOfWar:0.334;Aristotle_Organon:0.332
Dedication	뺺뱊dę. A suffic none proved itself. ⟦ctx: lemma=뺺뱊dę; pos≈verb; anchors=Milton_ParadiseLost|Dante_DivineComedy|Aristotle_Organon⟧	Milton_ParadiseLost:0.334;Dante_DivineComedy:0.333;Aristotle_Organon:0.332
Foreword	ńąn쏞롇. To light through dark; to dark through light. ⟦ctx: lemma=ńąn쏞롇; pos≈verb; anchors=Descartes_Meditations|Milton_ParadiseLost|Aristotle_Organon⟧	Descartes_Meditations:0.334;Milton_ParadiseLost:0.333;Aristotle_Organon:0.332
The Proposal	뵶śaly 빉괦ㅇđóf. Seek one by all; keep all by one. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Dante_DivineComedy|Plato_Republic|Sunzi_ArtOfWar⟧	Dante_DivineComedy:0.338;Plato_Republic:0.331;Sunzi_ArtOfWar:0.331
Burning Books	pyđbąś랰 lyd넏nóh. A irritable name exporting itself. ⟦ctx: lemma=pyđbąś랰; pos≈verb; anchors=Aristotle_Organon|Tolstoy_WarPeace|Dante_DivineComedy⟧	Aristotle_Organon:0.336;Tolstoy_WarPeace:0.332;Dante_DivineComedy:0.332
Crime and Punishment	bi뱚ś쵱 fó훐겾 myh덶ro. To time through eternity; to eternity through time. ⟦ctx: lemma=bi뱚ś쵱; pos≈verb; anchors=Descartes_Meditations|Homer_Iliad|Aristotle_Organon⟧	Descartes_Meditations:0.336;Homer_Iliad:0.332;Aristotle_Organon:0.332
Suicide and Song	rilnu쵇 fó훐겾 fęź툶sól. Between time and eternity, the path mirrors back from eternity to time. ⟦ctx: lemma=rilnu쵇; pos≈verb; anchors=Homer_Iliad|Sunzi_ArtOfWar|Dante_DivineComedy⟧	Homer_Iliad:0.336;Sunzi_ArtOfWar:0.332;Dante_DivineComedy:0.332
The Business Trip	뵶śaly 덲윶띶 ju괚ㅆmó. To light through dark; to dark through light. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Dante_DivineComedy|Aristotle_Organon|Descartes_Meditations⟧	Dante_DivineComedy:0.336;Aristotle_Organon:0.333;Descartes_Meditations:0.331
Do You Want My Unhappiness?	쩏węw탾 뷅뉁긩 siwyke 뗡nąz귞 sobźękśżę. Seek time by eternity; keep eternity by time. ⟦ctx: lemma=쩏węw탾; pos≈verb; anchors=Tolstoy_WarPeace|Aristotle_Organon|Milton_ParadiseLost⟧	Tolstoy_WarPeace:0.336;Aristotle_Organon:0.333;Milton_ParadiseLost:0.331
No Admission to Heaven	댄kuł쎪 펲roㅇnu 찰ręś뜁 국fapwę. To time through eternity; to eternity through time. ⟦ctx: lemma=댄kuł쎪; pos≈verb; anchors=Milton_ParadiseLost|Dante_DivineComedy|Aristotle_Organon⟧	Milton_ParadiseLost:0.334;Dante_DivineComedy:0.333;Aristotle_Organon:0.332
Billowing, Fluttering, Winding	śul뵹zę momąvęń 뱓곫ł얨. A young city string itself. ⟦ctx: lemma=śul뵹zę; pos≈verb; anchors=Descartes_Meditations|Sunzi_ArtOfWar|Homer_Odyssey⟧	Descartes_Meditations:0.334;Sunzi_ArtOfWar:0.334;Homer_Odyssey:0.332
A Third-rate Wedding	póbęjiń ćapnęw픠 hehhonja rę슅켱. Between light and dark, the path mirrors back from dark to light. ⟦ctx: lemma=póbęjiń; pos≈verb; anchors=Dostoevsky_BrothersKaramazov|Cervantes_DonQuixote|Homer_Odyssey⟧	Dostoevsky_BrothersKaramazov:0.335;Cervantes_DonQuixote:0.333;Homer_Odyssey:0.332
The Matriarch	뵶śaly bęj뙢ł쬖. A suitable then rise itself. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Melville_MobyDick|Homer_Odyssey|Tolstoy_WarPeace⟧	Melville_MobyDick:0.334;Homer_Odyssey:0.333;Tolstoy_WarPeace:0.333
Temptations	pątęra. Seek light by dark; keep dark by light. ⟦ctx: lemma=pątęra; pos≈verb; anchors=Dante_DivineComedy|Austen_PridePrejudice|Tolstoy_WarPeace⟧	Dante_DivineComedy:0.336;Austen_PridePrejudice:0.333;Tolstoy_WarPeace:0.331
The Call from Ali	뵶śaly den쳽뚬 duzjołńaw vąlgó씶. Between spirit and flesh, the path mirrors back from flesh to spirit. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Descartes_Meditations|Milton_ParadiseLost|Homer_Odyssey⟧	Descartes_Meditations:0.336;Milton_ParadiseLost:0.335;Homer_Odyssey:0.329
